source,target,formula
TABLA DE ACCESORIOS DESCARGA!I9,TABLA DE ACCESORIOS DESCARGA!H$2,=((D9*F9)*($H$2^2)/(32.4*2))*H9
TABLA DE ACCESORIOS DESCARGA!D10,TABLA DE ACCESORIOS DESCARGA!K6,"=VLOOKUP(K6,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G10,TABLA DE ACCESORIOS DESCARGA!K6,"=VLOOKUP(K6,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I10,TABLA DE ACCESORIOS DESCARGA!F10,=((D10*F10)*($H$2^2)/(32.4*2))*H10
TABLA DE ACCESORIOS DESCARGA!I10,TABLA DE ACCESORIOS DESCARGA!D10,=((D10*F10)*($H$2^2)/(32.4*2))*H10
TABLA DE ACCESORIOS DESCARGA!I10,TABLA DE ACCESORIOS DESCARGA!H10,=((D10*F10)*($H$2^2)/(32.4*2))*H10
TABLA DE ACCESORIOS DESCARGA!I10,TABLA DE ACCESORIOS DESCARGA!H$2,=((D10*F10)*($H$2^2)/(32.4*2))*H10
TABLA DE ACCESORIOS DESCARGA!D11,TABLA DE ACCESORIOS DESCARGA!K7,"=VLOOKUP(K7,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G11,TABLA DE ACCESORIOS DESCARGA!K7,"=VLOOKUP(K7,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I11,TABLA DE ACCESORIOS DESCARGA!H$2,=((D11*F11)*($H$2^2)/(32.4*2))*H11
TABLA DE ACCESORIOS DESCARGA!I11,TABLA DE ACCESORIOS DESCARGA!H11,=((D11*F11)*($H$2^2)/(32.4*2))*H11
TABLA DE ACCESORIOS DESCARGA!I11,TABLA DE ACCESORIOS DESCARGA!F11,=((D11*F11)*($H$2^2)/(32.4*2))*H11
TABLA DE ACCESORIOS DESCARGA!I11,TABLA DE ACCESORIOS DESCARGA!D11,=((D11*F11)*($H$2^2)/(32.4*2))*H11
TABLA DE ACCESORIOS DESCARGA!D12,TABLA DE ACCESORIOS DESCARGA!K8,"=VLOOKUP(K8,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G12,TABLA DE ACCESORIOS DESCARGA!K8,"=VLOOKUP(K8,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I12,TABLA DE ACCESORIOS DESCARGA!F12,=((D12*F12)*($H$2^2)/(32.4*2))*H12
TABLA DE ACCESORIOS DESCARGA!I12,TABLA DE ACCESORIOS DESCARGA!H12,=((D12*F12)*($H$2^2)/(32.4*2))*H12
TABLA DE ACCESORIOS DESCARGA!I12,TABLA DE ACCESORIOS DESCARGA!H$2,=((D12*F12)*($H$2^2)/(32.4*2))*H12
TABLA DE ACCESORIOS DESCARGA!I12,TABLA DE ACCESORIOS DESCARGA!D12,=((D12*F12)*($H$2^2)/(32.4*2))*H12
TABLA DE ACCESORIOS DESCARGA!D13,TABLA DE ACCESORIOS DESCARGA!K9,"=VLOOKUP(K9,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G13,TABLA DE ACCESORIOS DESCARGA!K9,"=VLOOKUP(K9,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I13,TABLA DE ACCESORIOS DESCARGA!H13,=((D13*F13)*($H$2^2)/(32.4*2))*H13
TABLA DE ACCESORIOS DESCARGA!I13,TABLA DE ACCESORIOS DESCARGA!F13,=((D13*F13)*($H$2^2)/(32.4*2))*H13
TABLA DE ACCESORIOS DESCARGA!I13,TABLA DE ACCESORIOS DESCARGA!H$2,=((D13*F13)*($H$2^2)/(32.4*2))*H13
TABLA DE ACCESORIOS DESCARGA!I13,TABLA DE ACCESORIOS DESCARGA!D13,=((D13*F13)*($H$2^2)/(32.4*2))*H13
TABLA DE ACCESORIOS DESCARGA!D14,TABLA DE ACCESORIOS DESCARGA!K10,"=VLOOKUP(K10,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G14,TABLA DE ACCESORIOS DESCARGA!K10,"=VLOOKUP(K10,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I14,TABLA DE ACCESORIOS DESCARGA!D14,=((D14*F14)*($H$2^2)/(32.4*2))*H14
TABLA DE ACCESORIOS DESCARGA!I14,TABLA DE ACCESORIOS DESCARGA!H14,=((D14*F14)*($H$2^2)/(32.4*2))*H14
TABLA DE ACCESORIOS DESCARGA!I14,TABLA DE ACCESORIOS DESCARGA!H$2,=((D14*F14)*($H$2^2)/(32.4*2))*H14
TABLA DE ACCESORIOS DESCARGA!I14,TABLA DE ACCESORIOS DESCARGA!F14,=((D14*F14)*($H$2^2)/(32.4*2))*H14
TABLA DE ACCESORIOS DESCARGA!D15,TABLA DE ACCESORIOS DESCARGA!K11,"=VLOOKUP(K11,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G15,TABLA DE ACCESORIOS DESCARGA!K11,"=VLOOKUP(K11,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I15,TABLA DE ACCESORIOS DESCARGA!H15,=((D15*F15)*($H$2^2)/(32.4*2))*H15
TABLA DE ACCESORIOS DESCARGA!I15,TABLA DE ACCESORIOS DESCARGA!F15,=((D15*F15)*($H$2^2)/(32.4*2))*H15
TABLA DE ACCESORIOS DESCARGA!I15,TABLA DE ACCESORIOS DESCARGA!D15,=((D15*F15)*($H$2^2)/(32.4*2))*H15
TABLA DE ACCESORIOS DESCARGA!I15,TABLA DE ACCESORIOS DESCARGA!H$2,=((D15*F15)*($H$2^2)/(32.4*2))*H15
TABLA DE ACCESORIOS DESCARGA!D16,TABLA DE ACCESORIOS DESCARGA!K12,"=VLOOKUP(K12,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G16,TABLA DE ACCESORIOS DESCARGA!K12,"=VLOOKUP(K12,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I16,TABLA DE ACCESORIOS DESCARGA!F16,=((D16*F16)*($H$2^2)/(32.4*2))*H16
TABLA DE ACCESORIOS DESCARGA!I16,TABLA DE ACCESORIOS DESCARGA!H16,=((D16*F16)*($H$2^2)/(32.4*2))*H16
TABLA DE ACCESORIOS DESCARGA!I16,TABLA DE ACCESORIOS DESCARGA!H$2,=((D16*F16)*($H$2^2)/(32.4*2))*H16
TABLA DE ACCESORIOS DESCARGA!I16,TABLA DE ACCESORIOS DESCARGA!D16,=((D16*F16)*($H$2^2)/(32.4*2))*H16
TABLA DE ACCESORIOS DESCARGA!D17,TABLA DE ACCESORIOS DESCARGA!K13,"=VLOOKUP(K13,FRICCION,3,FALSE)"
