sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,N14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG14,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ14,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B15,5,n,0,False
TABLA DE ACCESORIOS DESCARGA,F15,150,n,0,False
TABLA DE ACCESORIOS DESCARGA,H15,1,n,0,False
TABLA DE ACCESORIOS DESCARGA,K15,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N15,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,O15,2.5680555555555555,n,General,False
TABLA DE ACCESORIOS DESCARGA,R15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG15,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ15,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B16,6,n,0,False
TABLA DE ACCESORIOS DESCARGA,F16,100,n,0,False
TABLA DE ACCESORIOS DESCARGA,H16,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K16,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG16,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ16,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B17,7,n,0,False
TABLA DE ACCESORIOS DESCARGA,F17,600,n,0,False
TABLA DE ACCESORIOS DESCARGA,H17,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K17,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC17,0,n,General,False
